时间戳	疲劳类型	持续时长
2026-04-13 23:38:37	闭眼	0.347秒
2026-04-13 23:38:37	闭眼	0.461秒
2026-04-13 23:38:37	闭眼	0.562秒
2026-04-13 23:38:37	闭眼	0.680秒
2026-04-13 23:38:37	闭眼	0.780秒
2026-04-13 23:38:38	闭眼	0.881秒
2026-04-13 23:38:38	闭眼	0.998秒
2026-04-13 23:38:38	闭眼	1.097秒
2026-04-13 23:38:38	闭眼	1.213秒
2026-04-13 23:38:38	闭眼	1.315秒
2026-04-13 23:38:38	闭眼	1.431秒
2026-04-13 23:38:38	闭眼	1.531秒
2026-04-13 23:38:38	闭眼	1.648秒
2026-04-13 23:38:38	闭眼	1.748秒
2026-04-13 23:38:39	闭眼	1.848秒
2026-04-13 23:38:39	闭眼	1.948秒
2026-04-13 23:38:39	闭眼	2.065秒
2026-04-13 23:38:39	闭眼	2.181秒
2026-04-13 23:38:39	闭眼	2.280秒
2026-04-13 23:38:39	闭眼	2.398秒
2026-04-13 23:38:39	闭眼	2.513秒
2026-04-13 23:38:39	闭眼	2.612秒
2026-04-13 23:38:39	闭眼	2.727秒
2026-04-13 23:38:40	闭眼	2.829秒
2026-04-13 23:38:42	闭眼	0.348秒
2026-04-13 23:38:42	闭眼	0.464秒
2026-04-13 23:38:42	闭眼	0.579秒
2026-04-13 23:38:42	闭眼	0.680秒
2026-04-13 23:38:42	闭眼	0.780秒
2026-04-13 23:38:42	闭眼	0.897秒
2026-04-13 23:38:42	闭眼	0.996秒
2026-04-13 23:38:42	闭眼	1.097秒
2026-04-13 23:38:42	闭眼	1.197秒
2026-04-13 23:38:43	闭眼	1.313秒
2026-04-13 23:38:43	闭眼	0.334秒
2026-04-13 23:38:43	闭眼	0.449秒
2026-04-13 23:38:43	闭眼	0.567秒
2026-04-13 23:38:43	闭眼	0.666秒
2026-04-13 23:38:44	闭眼	0.767秒
2026-04-13 23:38:44	闭眼	0.882秒
2026-04-13 23:38:44	闭眼	0.983秒
2026-04-13 23:38:44	闭眼	1.099秒
2026-04-13 23:38:44	闭眼	1.200秒
2026-04-13 23:38:44	闭眼	1.300秒
2026-04-13 23:38:44	闭眼	1.417秒
2026-04-13 23:38:44	闭眼	1.517秒
2026-04-13 23:38:44	闭眼	1.616秒
2026-04-13 23:38:45	闭眼	1.733秒
2026-04-13 23:38:45	闭眼	1.848秒
2026-04-13 23:38:45	闭眼	1.949秒
2026-04-13 23:38:46	闭眼	0.349秒
2026-04-13 23:38:46	闭眼	0.449秒
2026-04-13 23:38:46	闭眼	0.549秒
2026-04-13 23:38:46	闭眼	0.665秒
2026-04-13 23:38:46	闭眼	0.766秒
2026-04-13 23:38:47	闭眼	0.882秒
2026-04-13 23:38:49	闭眼	0.316秒
2026-04-13 23:38:50	闭眼	0.431秒
